job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,operation_energy_kWh_est
J024,C,92,3,2026-09-24 17:45:00,1,C-ASM,M02,Medium,2026-09-22 09:45:00,2026-09-22 11:45:00,15,105,120,99.0
J024,C,92,3,2026-09-24 17:45:00,2,C-HT,M03,Maximum,2026-09-24 10:00:00,2026-09-24 13:05:00,35,150,185,379.417
J024,C,92,3,2026-09-24 17:45:00,3,C-INS,M05,Light,2026-09-24 13:15:00,2026-09-24 14:25:00,10,60,70,33.067
J060,C,59,2,2026-09-24 18:45:00,1,C-ASM,M02,Medium,2026-09-21 18:15:00,2026-09-21 19:15:00,0,60,60,55.0
J060,C,59,2,2026-09-24 18:45:00,2,C-HT,M03,Maximum,2026-09-22 05:45:00,2026-09-22 07:15:00,0,90,90,217.5
J060,C,59,2,2026-09-24 18:45:00,3,C-INS,M05,Light,2026-09-22 16:45:00,2026-09-22 17:30:00,0,45,45,24.0
J064,B,153,2,2026-09-24 19:15:00,1,B-CUT,M01,Medium,2026-09-23 18:00:00,2026-09-23 20:00:00,0,120,120,144.0
J064,B,153,2,2026-09-24 19:15:00,2,B-HT,M03,Maximum,2026-09-24 13:15:00,2026-09-24 17:50:00,35,240,275,596.917
J064,B,153,2,2026-09-24 19:15:00,3,B-ASM,M02,Medium,2026-09-24 18:00:00,2026-09-24 21:00:00,15,165,180,154.0
J038,A,62,1,2026-09-24 21:15:00,1,A-CUT,M01,Medium,2026-09-23 20:00:00,2026-09-23 21:20:00,20,60,80,76.8
J038,A,62,1,2026-09-24 21:15:00,2,A-PRS,M04,Maximum,2026-09-24 06:00:00,2026-09-24 07:15:00,0,75,75,156.25
J038,A,62,1,2026-09-24 21:15:00,3,A-INS,M05,Light,2026-09-24 11:00:00,2026-09-24 11:55:00,10,45,55,25.067
J071,A,255,1,2026-09-25 02:45:00,1,A-CUT,M01,Medium,2026-09-24 06:00:00,2026-09-24 09:15:00,0,195,195,234.0
J071,A,255,1,2026-09-25 02:45:00,2,A-PRS,M04,Maximum,2026-09-24 09:15:00,2026-09-24 14:30:00,0,315,315,656.25
J071,A,255,1,2026-09-25 02:45:00,3,A-INS,M05,Light,2026-09-24 14:30:00,2026-09-24 17:15:00,0,165,165,88.0
J078,B,281,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-21 15:45:00,2026-09-21 19:50:00,20,225,245,274.8
J078,B,281,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-24 20:00:00,2026-09-25 03:15:00,0,435,435,1051.25
J078,B,281,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-25 06:00:00,2026-09-25 10:45:00,0,285,285,261.25
J080,B,149,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-24 09:15:00,2026-09-24 11:15:00,0,120,120,144.0
J080,B,149,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-25 03:15:00,2026-09-25 07:00:00,0,225,225,543.75
J080,B,149,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-25 10:45:00,2026-09-25 13:15:00,0,150,150,137.5
J026,B,113,2,2026-09-25 04:00:00,1,B-CUT,M01,Medium,2026-09-24 11:15:00,2026-09-24 12:45:00,0,90,90,108.0
J026,B,113,2,2026-09-25 04:00:00,2,B-HT,M03,Maximum,2026-09-25 07:00:00,2026-09-25 10:00:00,0,180,180,435.0
J026,B,113,2,2026-09-25 04:00:00,3,B-ASM,M02,Medium,2026-09-25 13:15:00,2026-09-25 15:15:00,0,120,120,110.0
J067,A,171,2,2026-09-25 05:00:00,1,A-CUT,M01,Medium,2026-09-24 12:45:00,2026-09-24 15:20:00,20,135,155,166.8
J067,A,171,2,2026-09-25 05:00:00,2,A-PRS,M04,Maximum,2026-09-24 15:30:00,2026-09-24 19:00:00,0,210,210,437.5
J067,A,171,2,2026-09-25 05:00:00,3,A-INS,M05,Light,2026-09-25 08:00:00,2026-09-25 09:45:00,0,105,105,56.0
J004,B,257,2,2026-09-25 05:15:00,1,B-CUT,M01,Medium,2026-09-24 15:30:00,2026-09-24 19:05:00,20,195,215,238.8
J004,B,257,2,2026-09-25 05:15:00,2,B-HT,M03,Maximum,2026-09-25 10:00:00,2026-09-25 16:30:00,0,390,390,942.5
J004,B,257,2,2026-09-25 05:15:00,3,B-ASM,M02,Medium,2026-09-25 16:30:00,2026-09-25 21:00:00,0,270,270,247.5
J015,C,159,2,2026-09-25 05:30:00,1,C-ASM,M02,Medium,2026-09-24 13:15:00,2026-09-24 16:15:00,15,165,180,154.0
J015,C,159,2,2026-09-25 05:30:00,2,C-HT,M03,Maximum,2026-09-25 16:30:00,2026-09-25 21:05:00,35,240,275,596.917
J015,C,159,2,2026-09-25 05:30:00,3,C-INS,M05,Light,2026-09-26 08:00:00,2026-09-26 09:55:00,10,105,115,57.067
J053,B,193,3,2026-09-25 06:15:00,1,B-CUT,M01,Medium,2026-09-24 19:15:00,2026-09-24 21:45:00,0,150,150,180.0
J053,B,193,3,2026-09-25 06:15:00,2,B-HT,M03,Maximum,2026-09-25 21:15:00,2026-09-26 02:50:00,35,300,335,741.917
J053,B,193,3,2026-09-25 06:15:00,3,B-ASM,M02,Medium,2026-09-26 06:00:00,2026-09-26 09:30:00,15,195,210,181.5
J035,B,271,1,2026-09-25 09:00:00,1,B-CUT,M01,Medium,2026-09-25 06:00:00,2026-09-25 09:30:00,0,210,210,252.0
J035,B,271,1,2026-09-25 09:00:00,2,B-HT,M03,Maximum,2026-09-26 03:00:00,2026-09-26 10:00:00,0,420,420,1015.0
J035,B,271,1,2026-09-25 09:00:00,3,B-ASM,M02,Medium,2026-09-26 10:00:00,2026-09-26 14:45:00,0,285,285,261.25
J054,C,275,3,2026-09-25 09:00:00,1,C-ASM,M02,Medium,2026-09-26 14:45:00,2026-09-26 19:45:00,15,285,300,264.0
J054,C,275,3,2026-09-25 09:00:00,2,C-HT,M03,Maximum,2026-09-26 19:45:00,2026-09-27 03:20:00,35,420,455,1031.917
J054,C,275,3,2026-09-25 09:00:00,3,C-INS,M05,Light,2026-09-27 08:00:00,2026-09-27 10:45:00,0,165,165,88.0
J039,A,202,3,2026-09-25 09:15:00,1,A-CUT,M01,Medium,2026-09-25 09:30:00,2026-09-25 12:35:00,20,165,185,202.8
J039,A,202,3,2026-09-25 09:15:00,2,A-PRS,M04,Maximum,2026-09-25 12:45:00,2026-09-25 17:00:00,0,255,255,531.25
J039,A,202,3,2026-09-25 09:15:00,3,A-INS,M05,Light,2026-09-25 17:00:00,2026-09-25 19:25:00,10,135,145,73.067
J044,A,67,2,2026-09-25 09:30:00,1,A-CUT,M01,Medium,2026-09-25 12:45:00,2026-09-25 13:45:00,0,60,60,72.0
J044,A,67,2,2026-09-25 09:30:00,2,A-PRS,M04,Maximum,2026-09-25 20:00:00,2026-09-25 21:30:00,0,90,90,187.5
J044,A,67,2,2026-09-25 09:30:00,3,A-INS,M05,Light,2026-09-26 10:00:00,2026-09-26 10:45:00,0,45,45,24.0
J048,C,266,1,2026-09-25 10:00:00,1,C-ASM,M02,Medium,2026-09-22 17:30:00,2026-09-22 22:00:00,0,270,270,247.5
J048,C,266,1,2026-09-25 10:00:00,2,C-HT,M03,Maximum,2026-09-26 10:00:00,2026-09-26 16:45:00,0,405,405,978.75
J048,C,266,1,2026-09-25 10:00:00,3,C-INS,M05,Light,2026-09-26 16:45:00,2026-09-26 19:40:00,10,165,175,89.067
J069,A,171,3,2026-09-25 12:45:00,1,A-CUT,M01,Medium,2026-09-21 11:30:00,2026-09-21 13:45:00,0,135,135,162.0
J069,A,171,3,2026-09-25 12:45:00,2,A-PRS,M04,Maximum,2026-09-21 17:00:00,2026-09-21 20:30:00,0,210,210,437.5
J069,A,171,3,2026-09-25 12:45:00,3,A-INS,M05,Light,2026-09-23 08:00:00,2026-09-23 09:55:00,10,105,115,57.067
J040,B,198,2,2026-09-25 13:00:00,1,B-CUT,M01,Medium,2026-09-25 13:45:00,2026-09-25 16:35:00,20,150,170,184.8
J040,B,198,2,2026-09-25 13:00:00,2,B-HT,M03,Maximum,2026-09-27 03:30:00,2026-09-27 09:05:00,35,300,335,741.917
J040,B,198,2,2026-09-25 13:00:00,3,B-ASM,M02,Medium,2026-09-27 09:15:00,2026-09-27 13:00:00,15,210,225,195.25
J031,A,217,3,2026-09-25 17:00:00,1,A-CUT,M01,Medium,2026-09-25 16:45:00,2026-09-25 19:50:00,20,165,185,202.8
J031,A,217,3,2026-09-25 17:00:00,2,A-PRS,M04,Maximum,2026-09-26 06:00:00,2026-09-26 10:30:00,0,270,270,562.5
J031,A,217,3,2026-09-25 17:00:00,3,A-INS,M05,Light,2026-09-26 10:45:00,2026-09-26 13:00:00,0,135,135,72.0
J075,A,69,2,2026-09-25 17:15:00,1,A-CUT,M01,Medium,2026-09-25 20:00:00,2026-09-25 21:00:00,0,60,60,72.0
J075,A,69,2,2026-09-25 17:15:00,2,A-PRS,M04,Maximum,2026-09-26 10:30:00,2026-09-26 12:00:00,0,90,90,187.5
J075,A,69,2,2026-09-25 17:15:00,3,A-INS,M05,Light,2026-09-26 13:00:00,2026-09-26 13:45:00,0,45,45,24.0
J076,B,85,3,2026-09-25 21:15:00,1,B-CUT,M01,Medium,2026-09-21 20:00:00,2026-09-21 21:35:00,20,75,95,94.8
J076,B,85,3,2026-09-25 21:15:00,2,B-HT,M03,Maximum,2026-09-22 07:15:00,2026-09-22 09:30:00,0,135,135,326.25
J076,B,85,3,2026-09-25 21:15:00,3,B-ASM,M02,Medium,2026-09-22 11:45:00,2026-09-22 13:15:00,0,90,90,82.5
J020,A,213,3,2026-09-25 21:15:00,1,A-CUT,M01,Medium,2026-09-26 06:00:00,2026-09-26 09:05:00,20,165,185,202.8
J020,A,213,3,2026-09-25 21:15:00,2,A-PRS,M04,Maximum,2026-09-26 12:00:00,2026-09-26 16:30:00,0,270,270,562.5
J020,A,213,3,2026-09-25 21:15:00,3,A-INS,M05,Light,2026-09-27 10:45:00,2026-09-27 13:00:00,0,135,135,72.0
J041,A,221,1,2026-09-25 22:15:00,1,A-CUT,M01,Medium,2026-09-26 09:15:00,2026-09-26 12:15:00,0,180,180,216.0
J041,A,221,1,2026-09-25 22:15:00,2,A-PRS,M04,Maximum,2026-09-26 16:30:00,2026-09-26 21:00:00,0,270,270,562.5
J041,A,221,1,2026-09-25 22:15:00,3,A-INS,M05,Light,2026-09-27 13:00:00,2026-09-27 15:15:00,0,135,135,72.0
J025,B,232,3,2026-09-25 22:45:00,1,B-CUT,M01,Medium,2026-09-26 12:15:00,2026-09-26 15:35:00,20,180,200,220.8
J025,B,232,3,2026-09-25 22:45:00,2,B-HT,M03,Maximum,2026-09-27 09:15:00,2026-09-27 15:15:00,0,360,360,870.0
J025,B,232,3,2026-09-25 22:45:00,3,B-ASM,M02,Medium,2026-09-27 15:15:00,2026-09-27 19:15:00,0,240,240,220.0
J063,B,134,2,2026-09-26 00:00:00,1,B-CUT,M01,Medium,2026-09-26 15:45:00,2026-09-26 17:30:00,0,105,105,126.0
J063,B,134,2,2026-09-26 00:00:00,2,B-HT,M03,Maximum,2026-09-27 15:15:00,2026-09-27 18:45:00,0,210,210,507.5
J063,B,134,2,2026-09-26 00:00:00,3,B-ASM,M02,Medium,2026-09-27 19:15:00,2026-09-27 21:30:00,0,135,135,123.75
J061,C,79,3,2026-09-26 01:15:00,1,C-ASM,M02,Medium,2026-09-24 16:15:00,2026-09-24 18:00:00,15,90,105,85.25
J061,C,79,3,2026-09-26 01:15:00,2,C-HT,M03,Maximum,2026-09-26 16:45:00,2026-09-26 19:20:00,35,120,155,306.917
J061,C,79,3,2026-09-26 01:15:00,3,C-INS,M05,Light,2026-09-27 15:15:00,2026-09-27 16:25:00,10,60,70,33.067
J009,B,166,1,2026-09-26 03:15:00,1,B-CUT,M01,Medium,2026-09-26 17:30:00,2026-09-26 19:45:00,0,135,135,162.0
J009,B,166,1,2026-09-26 03:15:00,2,B-HT,M03,Maximum,2026-09-27 18:45:00,2026-09-27 23:35:00,35,255,290,633.167
J009,B,166,1,2026-09-26 03:15:00,3,B-ASM,M02,Medium,2026-09-28 06:00:00,2026-09-28 09:15:00,15,180,195,167.75
J047,B,233,2,2026-09-26 03:15:00,1,B-CUT,M01,Medium,2026-09-27 06:00:00,2026-09-27 09:00:00,0,180,180,216.0
J047,B,233,2,2026-09-26 03:15:00,2,B-HT,M03,Maximum,2026-09-27 23:45:00,2026-09-28 05:45:00,0,360,360,870.0
J047,B,233,2,2026-09-26 03:15:00,3,B-ASM,M02,Medium,2026-09-28 09:15:00,2026-09-28 13:15:00,0,240,240,220.0
J065,B,241,3,2026-09-26 06:30:00,1,B-CUT,M01,Medium,2026-09-27 09:00:00,2026-09-27 12:15:00,0,195,195,234.0
J065,B,241,3,2026-09-26 06:30:00,2,B-HT,M03,Maximum,2026-09-28 05:45:00,2026-09-28 12:00:00,0,375,375,906.25
J065,B,241,3,2026-09-26 06:30:00,3,B-ASM,M02,Medium,2026-09-28 13:15:00,2026-09-28 17:30:00,0,255,255,233.75
J003,A,179,1,2026-09-26 09:15:00,1,A-CUT,M01,Medium,2026-09-27 12:15:00,2026-09-27 14:50:00,20,135,155,166.8
J003,A,179,1,2026-09-26 09:15:00,2,A-PRS,M04,Maximum,2026-09-27 15:00:00,2026-09-27 18:45:00,0,225,225,468.75
J003,A,179,1,2026-09-26 09:15:00,3,A-INS,M05,Light,2026-09-28 08:00:00,2026-09-28 10:10:00,10,120,130,65.067
J056,A,170,2,2026-09-26 09:15:00,1,A-CUT,M01,Medium,2026-09-26 19:45:00,2026-09-26 22:00:00,0,135,135,162.0
J056,A,170,2,2026-09-26 09:15:00,2,A-PRS,M04,Maximum,2026-09-27 06:00:00,2026-09-27 09:30:00,0,210,210,437.5
J056,A,170,2,2026-09-26 09:15:00,3,A-INS,M05,Light,2026-09-27 16:30:00,2026-09-27 18:15:00,0,105,105,56.0
J050,B,78,3,2026-09-26 09:15:00,1,B-CUT,M01,Medium,2026-09-27 15:00:00,2026-09-27 16:20:00,20,60,80,76.8
J050,B,78,3,2026-09-26 09:15:00,2,B-HT,M03,Maximum,2026-09-28 12:00:00,2026-09-28 14:00:00,0,120,120,290.0
J050,B,78,3,2026-09-26 09:15:00,3,B-ASM,M02,Medium,2026-09-28 17:30:00,2026-09-28 19:00:00,0,90,90,82.5
J033,B,273,1,2026-09-26 10:45:00,1,B-CUT,M01,Medium,2026-09-27 16:30:00,2026-09-27 20:00:00,0,210,210,252.0
J033,B,273,1,2026-09-26 10:45:00,2,B-HT,M03,Maximum,2026-09-28 14:00:00,2026-09-28 21:00:00,0,420,420,1015.0
J033,B,273,1,2026-09-26 10:45:00,3,B-ASM,M02,Medium,2026-09-29 06:00:00,2026-09-29 10:45:00,0,285,285,261.25
J010,A,289,1,2026-09-26 12:15:00,1,A-CUT,M01,Medium,2026-09-28 06:00:00,2026-09-28 10:05:00,20,225,245,274.8
J010,A,289,1,2026-09-26 12:15:00,2,A-PRS,M04,Maximum,2026-09-28 10:15:00,2026-09-28 16:15:00,0,360,360,750.0
J010,A,289,1,2026-09-26 12:15:00,3,A-INS,M05,Light,2026-09-28 16:15:00,2026-09-28 19:15:00,0,180,180,96.0
J043,B,75,1,2026-09-26 13:15:00,1,B-CUT,M01,Medium,2026-09-27 20:00:00,2026-09-27 21:20:00,20,60,80,76.8
J043,B,75,1,2026-09-26 13:15:00,2,B-HT,M03,Maximum,2026-09-28 21:00:00,2026-09-28 23:00:00,0,120,120,290.0
J043,B,75,1,2026-09-26 13:15:00,3,B-ASM,M02,Medium,2026-09-29 10:45:00,2026-09-29 12:00:00,0,75,75,68.75
J046,C,117,2,2026-09-26 16:00:00,1,C-ASM,M02,Medium,2026-09-21 19:15:00,2026-09-21 21:30:00,15,120,135,112.75
J046,C,117,2,2026-09-26 16:00:00,2,C-HT,M03,Maximum,2026-09-28 23:00:00,2026-09-29 02:35:00,35,180,215,451.917
J046,C,117,2,2026-09-26 16:00:00,3,C-INS,M05,Light,2026-09-29 08:00:00,2026-09-29 09:25:00,10,75,85,41.067
J006,C,204,1,2026-09-26 17:00:00,1,C-ASM,M02,Medium,2026-09-29 12:00:00,2026-09-29 15:30:00,0,210,210,192.5
J006,C,204,1,2026-09-26 17:00:00,2,C-HT,M03,Maximum,2026-09-29 15:30:00,2026-09-29 20:45:00,0,315,315,761.25
J006,C,204,1,2026-09-26 17:00:00,3,C-INS,M05,Light,2026-09-30 08:00:00,2026-09-30 10:15:00,0,135,135,72.0
J049,A,83,3,2026-09-26 17:15:00,1,A-CUT,M01,Medium,2026-09-28 10:15:00,2026-09-28 11:50:00,20,75,95,94.8
J049,A,83,3,2026-09-26 17:15:00,2,A-PRS,M04,Maximum,2026-09-28 16:15:00,2026-09-28 18:00:00,0,105,105,218.75
J049,A,83,3,2026-09-26 17:15:00,3,A-INS,M05,Light,2026-09-29 09:30:00,2026-09-29 10:40:00,10,60,70,33.067
J077,A,154,1,2026-09-26 18:45:00,1,A-CUT,M01,Medium,2026-09-28 12:00:00,2026-09-28 14:00:00,0,120,120,144.0
J077,A,154,1,2026-09-26 18:45:00,2,A-PRS,M04,Maximum,2026-09-28 18:00:00,2026-09-28 21:15:00,0,195,195,406.25
J077,A,154,1,2026-09-26 18:45:00,3,A-INS,M05,Light,2026-09-29 10:45:00,2026-09-29 12:30:00,0,105,105,56.0
J013,B,233,3,2026-09-26 22:15:00,1,B-CUT,M01,Medium,2026-09-28 14:00:00,2026-09-28 17:20:00,20,180,200,220.8
J013,B,233,3,2026-09-26 22:15:00,2,B-HT,M03,Maximum,2026-09-29 02:45:00,2026-09-29 09:20:00,35,360,395,886.917
J013,B,233,3,2026-09-26 22:15:00,3,B-ASM,M02,Medium,2026-09-29 15:30:00,2026-09-29 19:45:00,15,240,255,222.75
J011,B,286,1,2026-09-26 23:15:00,1,B-CUT,M01,Medium,2026-09-28 17:30:00,2026-09-28 21:15:00,0,225,225,270.0
J011,B,286,1,2026-09-26 23:15:00,2,B-HT,M03,Maximum,2026-09-29 20:45:00,2026-09-30 04:00:00,0,435,435,1051.25
J011,B,286,1,2026-09-26 23:15:00,3,B-ASM,M02,Medium,2026-09-30 06:00:00,2026-09-30 11:00:00,0,300,300,275.0
J072,C,166,2,2026-09-27 01:45:00,1,C-ASM,M02,Medium,2026-09-27 06:00:00,2026-09-27 09:15:00,15,180,195,167.75
