job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,energy_kWh_est,energy_cost_est,peak_overlap_slots,co2_kg_est,slack_before_operation_min,slack_policy_mode,candidate_score
J052,C,298,2,2026-09-23 08:30:00,2,C-HT,M03,Maximum,2026-09-22 16:45:00,2026-09-23 00:50:00,35,450,485,1145.5,171680.0,13,687.3,1885.0,active_peak_avoid,205135.65
J052,C,298,2,2026-09-23 08:30:00,3,C-INS,M05,Light,2026-09-23 08:00:00,2026-09-23 11:00:00,0,180,180,96.0,16000.0,4,33.6,280.0,urgent_fast,845580.0
J008,A,219,3,2026-09-23 08:30:00,1,A-CUT,M01,Medium,2026-09-22 11:15:00,2026-09-22 14:20:00,20,165,185,223.2,34704.0,4,100.44,1435.0,limited_energy,41270.22
J008,A,219,3,2026-09-23 08:30:00,2,A-PRS,M04,Maximum,2026-09-22 14:30:00,2026-09-22 19:00:00,0,270,270,562.5,98750.0,8,337.5,820.0,limited_energy,110274.75
J008,A,219,3,2026-09-23 08:30:00,3,A-INS,M05,Light,2026-09-23 11:00:00,2026-09-23 13:25:00,10,135,145,81.6,14112.0,5,28.56,665.0,limited_energy,1500777.28
J018,B,187,2,2026-09-23 14:30:00,1,B-CUT,M01,Medium,2026-09-22 14:30:00,2026-09-22 17:20:00,20,150,170,205.2,31608.0,2,92.34,1510.0,normal_energy,35696.17
J018,B,187,2,2026-09-23 14:30:00,2,B-HT,M03,Maximum,2026-09-23 01:00:00,2026-09-23 06:20:00,35,285,320,746.75,67207.5,0,448.05,950.0,limited_energy,72467.525
J018,B,187,2,2026-09-23 14:30:00,3,B-ASM,M02,Medium,2026-09-23 06:30:00,2026-09-23 10:00:00,15,195,210,181.5,21835.0,0,81.675,280.0,urgent_fast,8687.0
J022,C,274,3,2026-09-23 18:15:00,1,C-ASM,M02,Medium,2026-09-23 10:00:00,2026-09-23 15:00:00,15,285,300,264.0,44880.0,8,118.8,1320.0,limited_energy,62194.4
J022,C,274,3,2026-09-23 18:15:00,2,C-HT,M03,Maximum,2026-09-23 15:00:00,2026-09-23 22:35:00,35,420,455,1073.0,179582.5,12,643.8,-260.0,late_risk_fast,1344106.5
J022,C,274,3,2026-09-23 18:15:00,3,C-INS,M05,Light,2026-09-24 08:00:00,2026-09-24 10:55:00,10,165,175,97.6,16224.0,4,34.16,-435.0,late_risk_fast,5124004.8
J016,A,62,2,2026-09-23 20:15:00,1,A-CUT,M01,Medium,2026-09-21 14:15:00,2026-09-21 15:35:00,20,60,80,97.2,13608.0,0,43.74,3160.0,normal_energy,13805.87
J016,A,62,2,2026-09-23 20:15:00,2,A-PRS,M04,Maximum,2026-09-21 15:45:00,2026-09-21 17:00:00,0,75,75,156.25,21875.0,0,93.75,3085.0,active_peak_avoid,22038.875
J016,A,62,2,2026-09-23 20:15:00,3,A-INS,M05,Light,2026-09-21 17:00:00,2026-09-21 17:55:00,10,45,55,33.6,7392.0,5,11.76,3020.0,normal_energy,9238.88
J037,B,98,1,2026-09-23 21:15:00,1,B-CUT,M01,Medium,2026-09-22 20:00:00,2026-09-22 21:35:00,20,75,95,115.2,16128.0,0,51.84,1825.0,normal_energy,20463.92
J037,B,98,1,2026-09-23 21:15:00,2,B-HT,M03,Maximum,2026-09-23 06:30:00,2026-09-23 09:35:00,35,150,185,420.5,50532.5,0,252.3,1235.0,limited_energy,56432.65
J037,B,98,1,2026-09-23 21:15:00,3,B-ASM,M02,Medium,2026-09-23 15:00:00,2026-09-23 17:00:00,15,105,120,99.0,13860.0,0,44.55,580.0,limited_energy,17341.275
J042,B,167,2,2026-09-23 23:00:00,1,B-CUT,M01,Medium,2026-09-22 17:30:00,2026-09-22 19:45:00,0,135,135,162.0,35640.0,9,72.9,1725.0,normal_energy,42921.45
J042,B,167,2,2026-09-23 23:00:00,2,B-HT,M03,Maximum,2026-09-23 09:45:00,2026-09-23 14:00:00,0,255,255,616.25,109475.0,8,369.75,1380.0,limited_energy,129478.875
J042,B,167,2,2026-09-23 23:00:00,3,B-ASM,M02,Medium,2026-09-23 19:00:00,2026-09-23 22:00:00,0,180,180,165.0,27500.0,4,74.25,360.0,limited_energy,33433.125
J005,A,245,1,2026-09-24 01:00:00,1,A-CUT,M01,Medium,2026-09-23 06:00:00,2026-09-23 09:35:00,20,195,215,259.2,29628.0,0,116.64,1585.0,normal_energy,36621.32
J005,A,245,1,2026-09-24 01:00:00,2,A-PRS,M04,Maximum,2026-09-23 12:00:00,2026-09-23 17:00:00,0,300,300,625.0,87500.0,0,375.0,625.0,limited_energy,89226.5
J005,A,245,1,2026-09-24 01:00:00,3,A-INS,M05,Light,2026-09-23 17:00:00,2026-09-23 19:30:00,0,150,150,80.0,17600.0,10,28.0,330.0,urgent_fast,5720.0
J059,C,134,2,2026-09-24 05:00:00,1,C-ASM,M02,Medium,2026-09-21 17:00:00,2026-09-21 19:30:00,15,135,150,126.5,27830.0,10,56.925,4290.0,normal_energy,43576.463
J059,C,134,2,2026-09-24 05:00:00,2,C-HT,M03,Maximum,2026-09-22 04:45:00,2026-09-22 08:50:00,35,210,245,565.5,58145.0,0,339.3,3205.0,active_peak_avoid,64304.65
J059,C,134,2,2026-09-24 05:00:00,3,C-INS,M05,Light,2026-09-22 12:00:00,2026-09-22 13:40:00,10,90,100,57.6,8064.0,0,20.16,2550.0,normal_energy,10112.08
J012,A,130,3,2026-09-24 06:30:00,1,A-CUT,M01,Medium,2026-09-23 12:00:00,2026-09-23 13:45:00,0,105,105,126.0,17640.0,0,56.7,1515.0,normal_energy,22891.35
J012,A,130,3,2026-09-24 06:30:00,2,A-PRS,M04,Maximum,2026-09-23 19:15:00,2026-09-23 22:00:00,0,165,165,343.75,55625.0,3,206.25,840.0,limited_energy,63327.125
J012,A,130,3,2026-09-24 06:30:00,3,A-INS,M05,Light,2026-09-24 11:00:00,2026-09-24 12:40:00,10,90,100,57.6,10752.0,5,20.16,410.0,limited_energy,1870568.08
J032,A,99,1,2026-09-24 06:45:00,1,A-CUT,M01,Medium,2026-09-22 06:00:00,2026-09-22 07:15:00,0,75,75,90.0,8100.0,0,40.5,3165.0,normal_energy,11348.25
J032,A,99,1,2026-09-24 06:45:00,2,A-PRS,M04,Maximum,2026-09-22 07:15:00,2026-09-22 09:15:00,0,120,120,250.0,30312.5,0,150.0,2730.0,active_peak_avoid,30411.5
J032,A,99,1,2026-09-24 06:45:00,3,A-INS,M05,Light,2026-09-22 13:45:00,2026-09-22 14:45:00,0,60,60,32.0,4480.0,0,11.2,2670.0,normal_energy,7251.6
J055,B,221,2,2026-09-24 08:30:00,1,B-CUT,M01,Medium,2026-09-23 13:45:00,2026-09-23 17:05:00,20,180,200,241.2,35208.0,1,108.54,2740.0,normal_energy,54675.27
J055,B,221,2,2026-09-24 08:30:00,2,B-HT,M03,Maximum,2026-09-23 22:45:00,2026-09-24 05:05:00,35,345,380,891.75,80257.5,0,535.05,545.0,limited_energy,84349.025
J055,B,221,2,2026-09-24 08:30:00,3,B-ASM,M02,Medium,2026-09-24 06:00:00,2026-09-24 10:00:00,15,225,240,209.0,24310.0,0,94.05,-35.0,late_risk_fast,468932.0
J068,B,73,1,2026-09-24 09:30:00,1,B-CUT,M01,Medium,2026-09-22 09:45:00,2026-09-22 10:45:00,0,60,60,72.0,14400.0,3,32.4,3000.0,normal_energy,18517.2
J068,B,73,1,2026-09-24 09:30:00,2,B-HT,M03,Maximum,2026-09-24 05:15:00,2026-09-24 07:15:00,0,120,120,290.0,26100.0,0,174.0,2685.0,active_peak_avoid,52221.0
J068,B,73,1,2026-09-24 09:30:00,3,B-ASM,M02,Medium,2026-09-24 10:00:00,2026-09-24 11:15:00,0,75,75,68.75,15125.0,5,30.938,60.0,urgent_fast,564125.0
J057,C,108,2,2026-09-24 10:00:00,1,C-ASM,M02,Medium,2026-09-22 06:00:00,2026-09-22 08:15:00,15,120,135,112.75,10835.0,0,50.737,3105.0,normal_energy,12231.369
J057,C,108,2,2026-09-24 10:00:00,2,C-HT,M03,Maximum,2026-09-24 07:15:00,2026-09-24 10:35:00,35,165,200,456.75,69745.0,3,274.05,2785.0,active_peak_avoid,278166.025
J057,C,108,2,2026-09-24 10:00:00,3,C-INS,M05,Light,2026-09-24 12:45:00,2026-09-24 14:10:00,10,75,85,49.6,6944.0,0,17.36,-120.0,late_risk_fast,1279618.8
J051,B,87,2,2026-09-24 11:15:00,1,B-CUT,M01,Medium,2026-09-23 09:45:00,2026-09-23 11:00:00,0,75,75,90.0,18360.0,4,40.5,1605.0,normal_energy,22725.25
J051,B,87,2,2026-09-24 11:15:00,2,B-HT,M03,Maximum,2026-09-24 10:45:00,2026-09-24 13:35:00,35,135,170,384.25,64235.0,6,230.55,1285.0,limited_energy,787599.275
J051,B,87,2,2026-09-24 11:15:00,3,B-ASM,M02,Medium,2026-09-24 13:45:00,2026-09-24 15:30:00,15,90,105,85.25,11935.0,0,38.362,-245.0,late_risk_fast,1280657.0
J001,B,56,3,2026-09-24 13:15:00,1,B-CUT,M01,Medium,2026-09-23 11:00:00,2026-09-23 12:00:00,0,60,60,72.0,15840.0,4,32.4,2940.0,normal_energy,33203.2
J001,B,56,3,2026-09-24 13:15:00,2,B-HT,M03,Maximum,2026-09-24 13:45:00,2026-09-24 15:15:00,0,90,90,217.5,30450.0,0,130.5,1425.0,limited_energy,646292.25
J001,B,56,3,2026-09-24 13:15:00,3,B-ASM,M02,Medium,2026-09-24 15:30:00,2026-09-24 16:30:00,0,60,60,55.0,7700.0,0,24.75,-180.0,late_risk_fast,980290.0
J028,A,134,1,2026-09-24 16:15:00,1,A-CUT,M01,Medium,2026-09-21 12:00:00,2026-09-21 14:05:00,20,105,125,151.2,21168.0,0,68.04,4615.0,normal_energy,23070.02
J028,A,134,1,2026-09-24 16:15:00,2,A-PRS,M04,Maximum,2026-09-21 19:15:00,2026-09-21 22:00:00,0,165,165,343.75,55625.0,3,206.25,4285.0,active_peak_avoid,63123.125
J028,A,134,1,2026-09-24 16:15:00,3,A-INS,M05,Light,2026-09-22 14:45:00,2026-09-22 16:25:00,10,90,100,57.6,8064.0,0,20.16,3875.0,normal_energy,18425.08
J014,B,86,2,2026-09-24 17:15:00,1,B-CUT,M01,Medium,2026-09-23 17:15:00,2026-09-23 18:50:00,20,75,95,115.2,25344.0,8,51.84,3265.0,normal_energy,50732.92
J014,B,86,2,2026-09-24 17:15:00,2,B-HT,M03,Maximum,2026-09-24 15:15:00,2026-09-24 17:30:00,0,135,135,326.25,51475.0,2,195.75,1210.0,limited_energy,141894.875
J014,B,86,2,2026-09-24 17:15:00,3,B-ASM,M02,Medium,2026-09-24 17:30:00,2026-09-24 19:00:00,0,90,90,82.5,18150.0,6,37.125,-105.0,late_risk_fast,530370.0
J024,C,92,3,2026-09-24 17:45:00,1,C-ASM,M02,Medium,2026-09-22 12:00:00,2026-09-22 14:00:00,15,105,120,99.0,13860.0,0,44.55,3240.0,normal_energy,15403.275
J024,C,92,3,2026-09-24 17:45:00,2,C-HT,M03,Maximum,2026-09-24 20:00:00,2026-09-24 23:05:00,35,150,185,420.5,49807.5,0,252.3,2920.0,active_peak_avoid,1683298.65
J024,C,92,3,2026-09-24 17:45:00,3,C-INS,M05,Light,2026-09-25 08:00:00,2026-09-25 09:10:00,10,60,70,41.6,5824.0,0,14.56,-390.0,late_risk_fast,4739294.8
J060,C,59,2,2026-09-24 18:45:00,1,C-ASM,M02,Medium,2026-09-21 20:00:00,2026-09-21 21:00:00,0,60,60,55.0,7700.0,0,24.75,4560.0,normal_energy,11549.375
J060,C,59,2,2026-09-24 18:45:00,2,C-HT,M03,Maximum,2026-09-22 09:00:00,2026-09-22 10:30:00,0,90,90,217.5,36250.0,2,130.5,4095.0,active_peak_avoid,46477.25
J060,C,59,2,2026-09-24 18:45:00,3,C-INS,M05,Light,2026-09-22 11:00:00,2026-09-22 11:45:00,0,45,45,24.0,5280.0,3,8.4,3330.0,normal_energy,6649.2
J064,B,153,2,2026-09-24 19:15:00,1,B-CUT,M01,Medium,2026-09-23 19:00:00,2026-09-23 21:00:00,0,120,120,144.0,25920.0,4,64.8,3120.0,normal_energy,46983.4
J064,B,153,2,2026-09-24 19:15:00,2,B-HT,M03,Maximum,2026-09-24 23:15:00,2026-09-25 03:50:00,35,240,275,638.0,57420.0,0,382.8,1060.0,limited_energy,2649011.4
J064,B,153,2,2026-09-24 19:15:00,3,B-ASM,M02,Medium,2026-09-25 06:00:00,2026-09-25 09:00:00,15,165,180,154.0,16610.0,0,69.3,-695.0,late_risk_fast,4157542.0
J038,A,62,1,2026-09-24 21:15:00,1,A-CUT,M01,Medium,2026-09-24 06:00:00,2026-09-24 07:20:00,20,60,80,97.2,8748.0,0,43.74,1840.0,normal_energy,19196.87
J038,A,62,1,2026-09-24 21:15:00,2,A-PRS,M04,Maximum,2026-09-24 07:30:00,2026-09-24 08:45:00,0,75,75,156.25,18750.0,0,93.75,760.0,limited_energy,18913.875
J038,A,62,1,2026-09-24 21:15:00,3,A-INS,M05,Light,2026-09-24 14:15:00,2026-09-24 15:10:00,10,45,55,33.6,4704.0,0,11.76,695.0,limited_energy,8166.88
J071,A,255,1,2026-09-25 02:45:00,1,A-CUT,M01,Medium,2026-09-24 07:30:00,2026-09-24 10:45:00,0,195,195,234.0,35280.0,3,105.3,1725.0,normal_energy,45274.65
J071,A,255,1,2026-09-25 02:45:00,2,A-PRS,M04,Maximum,2026-09-24 11:45:00,2026-09-24 17:00:00,0,315,315,656.25,94375.0,1,393.75,645.0,limited_energy,96646.875
J071,A,255,1,2026-09-25 02:45:00,3,A-INS,M05,Light,2026-09-24 17:00:00,2026-09-24 19:45:00,0,165,165,88.0,19360.0,11,30.8,420.0,limited_energy,23258.4
J078,B,281,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-21 07:30:00,2026-09-21 11:35:00,20,225,245,295.2,50148.0,7,132.84,5515.0,normal_energy,58230.42
J078,B,281,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-21 11:45:00,2026-09-21 19:00:00,0,435,435,1051.25,173275.0,9,630.75,4795.0,active_peak_avoid,186379.375
J078,B,281,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-22 14:00:00,2026-09-22 18:45:00,0,285,285,261.25,44275.0,7,117.562,4500.0,normal_energy,60918.781
J080,B,149,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-24 10:45:00,2026-09-24 12:45:00,0,120,120,144.0,27360.0,5,64.8,3180.0,normal_energy,54784.4
J080,B,149,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-25 04:00:00,2026-09-25 07:45:00,0,225,225,543.75,48937.5,0,326.25,615.0,limited_energy,1558478.625
J080,B,149,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-25 09:00:00,2026-09-25 11:30:00,0,150,150,137.5,25850.0,6,61.875,-450.0,late_risk_fast,2648260.0
J026,B,113,2,2026-09-25 04:00:00,1,B-CUT,M01,Medium,2026-09-24 12:45:00,2026-09-24 14:15:00,0,90,90,108.0,15120.0,0,48.6,4230.0,normal_energy,49893.3
J026,B,113,2,2026-09-25 04:00:00,2,B-HT,M03,Maximum,2026-09-25 07:45:00,2026-09-25 10:45:00,0,180,180,435.0,67787.5,3,261.0,645.0,limited_energy,2107864.0
J026,B,113,2,2026-09-25 04:00:00,3,B-ASM,M02,Medium,2026-09-25 11:30:00,2026-09-25 13:30:00,0,120,120,110.0,17600.0,2,49.5,-525.0,late_risk_fast,2864450.0
J067,A,171,2,2026-09-25 05:00:00,1,A-CUT,M01,Medium,2026-09-24 14:15:00,2026-09-24 16:50:00,20,135,155,187.2,26208.0,0,84.24,4645.0,normal_energy,66374.12
J067,A,171,2,2026-09-25 05:00:00,2,A-PRS,M04,Maximum,2026-09-24 18:30:00,2026-09-24 22:00:00,0,210,210,437.5,76250.0,6,262.5,520.0,limited_energy,85843.25
J067,A,171,2,2026-09-25 05:00:00,3,A-INS,M05,Light,2026-09-25 09:15:00,2026-09-25 11:00:00,0,105,105,56.0,10400.0,4,19.6,315.0,urgent_fast,1945160.0
J004,B,257,2,2026-09-25 05:15:00,1,B-CUT,M01,Medium,2026-09-21 15:45:00,2026-09-21 19:20:00,20,195,215,259.2,50688.0,10,116.64,5845.0,normal_energy,67435.32
J004,B,257,2,2026-09-25 05:15:00,2,B-HT,M03,Maximum,2026-09-25 10:45:00,2026-09-25 17:15:00,0,390,390,942.5,149350.0,6,565.5,4525.0,active_peak_avoid,3811609.75
J004,B,257,2,2026-09-25 05:15:00,3,B-ASM,M02,Medium,2026-09-25 17:15:00,2026-09-25 21:45:00,0,270,270,247.5,46750.0,11,111.375,-990.0,late_risk_fast,4963590.0
J015,C,159,2,2026-09-25 05:30:00,1,C-ASM,M02,Medium,2026-09-24 19:00:00,2026-09-24 22:00:00,15,165,180,154.0,25080.0,4,69.3,2820.0,normal_energy,52244.65
J015,C,159,2,2026-09-25 05:30:00,2,C-HT,M03,Maximum,2026-09-25 17:15:00,2026-09-25 21:50:00,35,240,275,638.0,117160.0,12,382.8,175.0,urgent_fast,5172372.0
J015,C,159,2,2026-09-25 05:30:00,3,C-INS,M05,Light,2026-09-26 08:00:00,2026-09-26 09:55:00,10,105,115,65.6,7806.4,0,22.96,-1095.0,late_risk_fast,8655891.28
J053,B,193,3,2026-09-25 06:15:00,1,B-CUT,M01,Medium,2026-09-24 17:00:00,2026-09-24 19:30:00,0,150,150,180.0,39600.0,10,81.0,2850.0,normal_energy,69161.5
J053,B,193,3,2026-09-25 06:15:00,2,B-HT,M03,Maximum,2026-09-25 22:00:00,2026-09-26 03:35:00,35,300,335,783.0,62857.5,0,469.8,310.0,urgent_fast,6750101.5
J053,B,193,3,2026-09-25 06:15:00,3,B-ASM,M02,Medium,2026-09-26 06:00:00,2026-09-26 09:30:00,15,195,210,181.5,17341.5,0,81.675,-1490.0,late_risk_fast,8211138.3
J035,B,271,1,2026-09-25 09:00:00,1,B-CUT,M01,Medium,2026-09-25 06:00:00,2026-09-25 09:30:00,0,210,210,252.0,28080.0,0,113.4,3030.0,normal_energy,209390.7
J035,B,271,1,2026-09-25 09:00:00,2,B-HT,M03,Maximum,2026-09-26 03:45:00,2026-09-26 10:45:00,0,420,420,1015.0,101681.25,3,609.0,-450.0,late_risk_fast,7980326.25
J035,B,271,1,2026-09-25 09:00:00,3,B-ASM,M02,Medium,2026-09-26 10:45:00,2026-09-26 15:30:00,0,285,285,261.25,35763.75,5,117.562,-1830.0,late_risk_fast,9160702.75
J054,C,275,3,2026-09-25 09:00:00,1,C-ASM,M02,Medium,2026-09-26 15:30:00,2026-09-26 20:30:00,15,285,300,264.0,42636.0,12,118.8,2880.0,normal_energy,10752377.4
J054,C,275,3,2026-09-25 09:00:00,2,C-HT,M03,Maximum,2026-09-26 20:30:00,2026-09-27 04:05:00,35,420,455,1073.0,88718.25,0,643.8,-2585.0,late_risk_fast,12947573.65
J054,C,275,3,2026-09-25 09:00:00,3,C-INS,M05,Light,2026-09-27 08:00:00,2026-09-27 10:45:00,0,165,165,88.0,12104.0,3,30.8,-2750.0,late_risk_fast,14978630.8
J039,A,202,3,2026-09-25 09:15:00,1,A-CUT,M01,Medium,2026-09-25 09:30:00,2026-09-25 12:35:00,20,165,185,223.2,42768.0,8,100.44,5635.0,normal_energy,1108132.22
J039,A,202,3,2026-09-25 09:15:00,2,A-PRS,M04,Maximum,2026-09-25 12:45:00,2026-09-25 17:00:00,0,255,255,531.25,74375.0,0,318.75,-455.0,late_risk_fast,2344525.0
J039,A,202,3,2026-09-25 09:15:00,3,A-INS,M05,Light,2026-09-25 17:00:00,2026-09-25 19:25:00,10,135,145,81.6,17952.0,11,28.56,-610.0,late_risk_fast,3055890.4
J044,A,67,2,2026-09-25 09:30:00,1,A-CUT,M01,Medium,2026-09-23 21:00:00,2026-09-23 22:00:00,0,60,60,72.0,10080.0,0,32.4,4380.0,normal_energy,33058.2
J044,A,67,2,2026-09-25 09:30:00,2,A-PRS,M04,Maximum,2026-09-24 06:00:00,2026-09-24 07:30:00,0,90,90,187.5,16875.0,0,112.5,2040.0,active_peak_avoid,21845.25
J044,A,67,2,2026-09-25 09:30:00,3,A-INS,M05,Light,2026-09-24 15:15:00,2026-09-24 16:00:00,0,45,45,24.0,3360.0,0,8.4,1515.0,normal_energy,8116.2
J048,C,266,1,2026-09-25 10:00:00,1,C-ASM,M02,Medium,2026-09-27 06:00:00,2026-09-27 10:30:00,0,270,270,247.5,26592.5,2,111.375,5730.0,normal_energy,14666230.188
J048,C,266,1,2026-09-25 10:00:00,2,C-HT,M03,Maximum,2026-09-27 10:30:00,2026-09-27 17:15:00,0,405,405,978.75,133726.25,7,587.25,-3315.0,late_risk_fast,16607755.25
J048,C,266,1,2026-09-25 10:00:00,3,C-INS,M05,Light,2026-09-28 08:00:00,2026-09-28 10:55:00,10,165,175,89.067,12469.33,0,31.173,-3490.0,late_risk_fast,22065173.867
J069,A,171,3,2026-09-25 12:45:00,1,A-CUT,M01,Medium,2026-09-21 19:45:00,2026-09-21 22:00:00,0,135,135,162.0,24120.0,1,72.9,5805.0,normal_energy,31003.45
J069,A,171,3,2026-09-25 12:45:00,2,A-PRS,M04,Maximum,2026-09-22 11:00:00,2026-09-22 14:30:00,0,210,210,437.5,71250.0,4,262.5,4995.0,active_peak_avoid,84979.25
J069,A,171,3,2026-09-25 12:45:00,3,A-INS,M05,Light,2026-09-22 16:30:00,2026-09-22 18:25:00,10,105,115,65.6,13024.0,6,22.96,4100.0,normal_energy,16462.48
J040,B,198,2,2026-09-25 13:00:00,1,B-CUT,M01,Medium,2026-09-25 12:45:00,2026-09-25 15:35:00,20,150,170,205.2,28728.0,0,92.34,6070.0,normal_energy,867463.17
J040,B,198,2,2026-09-25 13:00:00,2,B-HT,M03,Maximum,2026-09-26 10:45:00,2026-09-26 16:20:00,35,300,335,783.0,102051.0,6,469.8,-490.0,late_risk_fast,8467220.2
J040,B,198,2,2026-09-25 13:00:00,3,B-ASM,M02,Medium,2026-09-27 10:30:00,2026-09-27 14:15:00,15,210,225,195.25,28096.75,6,87.862,-1865.0,late_risk_fast,15012729.35
J031,A,217,3,2026-09-25 17:00:00,1,A-CUT,M01,Medium,2026-09-25 15:45:00,2026-09-25 18:50:00,20,165,185,223.2,42768.0,8,100.44,5875.0,normal_energy,659662.22
J031,A,217,3,2026-09-25 17:00:00,2,A-PRS,M04,Maximum,2026-09-26 06:00:00,2026-09-26 10:30:00,0,270,270,562.5,60437.5,2,337.5,-380.0,late_risk_fast,5406047.5
J031,A,217,3,2026-09-25 17:00:00,3,A-INS,M05,Light,2026-09-26 10:30:00,2026-09-26 12:45:00,0,135,135,72.0,11832.0,6,25.2,-1185.0,late_risk_fast,5929136.4
J075,A,69,2,2026-09-25 17:15:00,1,A-CUT,M01,Medium,2026-09-24 19:30:00,2026-09-24 20:30:00,0,60,60,72.0,12960.0,2,32.4,4560.0,normal_energy,48201.2
J075,A,69,2,2026-09-25 17:15:00,2,A-PRS,M04,Maximum,2026-09-25 06:00:00,2026-09-25 07:30:00,0,90,90,187.5,16875.0,0,112.5,1155.0,limited_energy,22763.25
J075,A,69,2,2026-09-25 17:15:00,3,A-INS,M05,Light,2026-09-25 12:00:00,2026-09-25 12:45:00,0,45,45,24.0,3360.0,0,8.4,540.0,limited_energy,6127.2
J076,B,85,3,2026-09-25 21:15:00,1,B-CUT,M01,Medium,2026-09-25 19:00:00,2026-09-25 20:35:00,20,75,95,115.2,21024.0,5,51.84,5785.0,normal_energy,83327.92
J076,B,85,3,2026-09-25 21:15:00,2,B-HT,M03,Maximum,2026-09-26 16:30:00,2026-09-26 18:45:00,0,135,135,326.25,56078.75,7,195.75,-95.0,late_risk_fast,6715475.75
J076,B,85,3,2026-09-25 21:15:00,3,B-ASM,M02,Medium,2026-09-26 20:30:00,2026-09-26 22:00:00,0,90,90,82.5,9817.5,0,37.125,-1380.0,late_risk_fast,7449913.5
J020,A,213,3,2026-09-25 21:15:00,1,A-CUT,M01,Medium,2026-09-26 06:00:00,2026-09-26 09:05:00,20,165,185,223.2,20833.2,0,100.44,2995.0,normal_energy,3608871.42
J020,A,213,3,2026-09-25 21:15:00,2,A-PRS,M04,Maximum,2026-09-26 10:30:00,2026-09-26 15:00:00,0,270,270,562.5,79687.5,6,337.5,-980.0,late_risk_fast,5363167.5
J020,A,213,3,2026-09-25 21:15:00,3,A-INS,M05,Light,2026-09-26 15:00:00,2026-09-26 17:15:00,0,135,135,72.0,9112.0,1,25.2,-1200.0,late_risk_fast,6003242.4
J041,A,221,1,2026-09-25 22:15:00,1,A-CUT,M01,Medium,2026-09-26 09:15:00,2026-09-26 12:15:00,0,180,180,216.0,35496.0,8,97.2,4500.0,normal_energy,4295648.6
J041,A,221,1,2026-09-25 22:15:00,2,A-PRS,M04,Maximum,2026-09-26 15:00:00,2026-09-26 19:30:00,0,270,270,562.5,88187.5,10,337.5,-1110.0,late_risk_fast,6432787.5
J041,A,221,1,2026-09-25 22:15:00,3,A-INS,M05,Light,2026-09-27 10:45:00,2026-09-27 13:00:00,0,135,135,72.0,11288.0,5,25.2,-1410.0,late_risk_fast,11821107.6
J025,B,232,3,2026-09-25 22:45:00,1,B-CUT,M01,Medium,2026-09-26 12:15:00,2026-09-26 15:35:00,20,180,200,241.2,28702.8,0,108.54,4540.0,normal_energy,5135567.07
