job_id,product_type,quantity,priority,due_time,process_step,process_id,machine_id,load_type,start_time,end_time,setup_time_min,processing_time_min,total_time_min,energy_kWh_est,energy_cost_est,peak_overlap_slots,co2_kg_est,candidate_score
J018,B,187,2,2026-09-23 14:30:00,2,B-HT,M03,Maximum,2026-09-23 09:00:00,2026-09-23 14:20:00,35,285,320,746.75,127745.0,8,448.05,132144.525
J018,B,187,2,2026-09-23 14:30:00,3,B-ASM,M02,Medium,2026-09-23 14:30:00,2026-09-23 18:00:00,15,195,210,181.5,29810.0,4,81.675,241926.337
J022,C,274,3,2026-09-23 18:15:00,1,C-ASM,M02,Medium,2026-09-23 06:00:00,2026-09-23 11:00:00,15,285,300,264.0,36410.0,4,118.8,38588.65
J022,C,274,3,2026-09-23 18:15:00,2,C-HT,M03,Maximum,2026-09-23 14:30:00,2026-09-23 22:05:00,35,420,455,1073.0,183207.5,12,643.8,419714.9
J022,C,274,3,2026-09-23 18:15:00,3,C-INS,M05,Light,2026-09-24 08:00:00,2026-09-24 10:55:00,10,165,175,97.6,16224.0,4,34.16,1018320.83
J016,A,62,2,2026-09-23 20:15:00,1,A-CUT,M01,Medium,2026-09-21 14:15:00,2026-09-21 15:35:00,20,60,80,97.2,13608.0,0,43.74,13729.87
J016,A,62,2,2026-09-23 20:15:00,2,A-PRS,M04,Maximum,2026-09-22 06:00:00,2026-09-22 07:15:00,0,75,75,156.25,14062.5,0,93.75,14152.625
J016,A,62,2,2026-09-23 20:15:00,3,A-INS,M05,Light,2026-09-22 15:00:00,2026-09-22 15:55:00,10,45,55,33.6,4704.0,0,11.76,4783.13
J037,B,98,1,2026-09-23 21:15:00,1,B-CUT,M01,Medium,2026-09-22 15:15:00,2026-09-22 16:50:00,20,75,95,115.2,16128.0,0,51.84,16259.92
J037,B,98,1,2026-09-23 21:15:00,2,B-HT,M03,Maximum,2026-09-22 22:00:00,2026-09-23 01:05:00,35,150,185,420.5,37845.0,0,252.3,38161.65
J037,B,98,1,2026-09-23 21:15:00,3,B-ASM,M02,Medium,2026-09-23 12:00:00,2026-09-23 14:00:00,15,105,120,99.0,13860.0,0,44.55,13990.025
J042,B,167,2,2026-09-23 23:00:00,1,B-CUT,M01,Medium,2026-09-22 19:45:00,2026-09-22 22:00:00,0,135,135,162.0,24120.0,1,72.9,24667.7
J042,B,167,2,2026-09-23 23:00:00,2,B-HT,M03,Maximum,2026-09-23 01:15:00,2026-09-23 05:30:00,0,255,255,616.25,55462.5,0,369.75,55657.125
J042,B,167,2,2026-09-23 23:00:00,3,B-ASM,M02,Medium,2026-09-23 19:00:00,2026-09-23 22:00:00,0,180,180,165.0,27500.0,4,74.25,29577.625
J005,A,245,1,2026-09-24 01:00:00,1,A-CUT,M01,Medium,2026-09-23 12:00:00,2026-09-23 15:35:00,20,195,215,259.2,36288.0,0,116.64,36497.32
J005,A,245,1,2026-09-24 01:00:00,2,A-PRS,M04,Maximum,2026-09-23 15:45:00,2026-09-23 20:45:00,0,300,300,625.0,117500.0,12,375.0,123688.0
J005,A,245,1,2026-09-24 01:00:00,3,A-INS,M05,Light,2026-09-24 11:00:00,2026-09-24 13:30:00,0,150,150,80.0,13760.0,4,28.0,765816.75
J059,C,134,2,2026-09-24 05:00:00,1,C-ASM,M02,Medium,2026-09-22 06:00:00,2026-09-22 08:30:00,15,135,150,126.5,12760.0,0,56.925,12944.462
J059,C,134,2,2026-09-24 05:00:00,2,C-HT,M03,Maximum,2026-09-23 22:15:00,2026-09-24 02:20:00,35,210,245,565.5,50895.0,0,339.3,51352.9
J059,C,134,2,2026-09-24 05:00:00,3,C-INS,M05,Light,2026-09-24 13:30:00,2026-09-24 15:10:00,10,90,100,57.6,8064.0,0,20.16,618157.58
J012,A,130,3,2026-09-24 06:30:00,1,A-CUT,M01,Medium,2026-09-23 20:00:00,2026-09-23 21:45:00,0,105,105,126.0,17640.0,0,56.7,17717.85
J012,A,130,3,2026-09-24 06:30:00,2,A-PRS,M04,Maximum,2026-09-24 06:00:00,2026-09-24 08:45:00,0,165,165,343.75,35625.0,0,206.25,170752.875
J012,A,130,3,2026-09-24 06:30:00,3,A-INS,M05,Light,2026-09-24 15:15:00,2026-09-24 16:55:00,10,90,100,57.6,8064.0,0,20.16,633143.58
J032,A,99,1,2026-09-24 06:45:00,1,A-CUT,M01,Medium,2026-09-22 06:00:00,2026-09-22 07:15:00,0,75,75,90.0,8100.0,0,40.5,8136.0
J032,A,99,1,2026-09-24 06:45:00,2,A-PRS,M04,Maximum,2026-09-22 07:15:00,2026-09-22 09:15:00,0,120,120,250.0,30312.5,0,150.0,30387.5
J032,A,99,1,2026-09-24 06:45:00,3,A-INS,M05,Light,2026-09-22 16:00:00,2026-09-22 17:00:00,0,60,60,32.0,4480.0,0,11.2,4505.85
J055,B,221,2,2026-09-24 08:30:00,1,B-CUT,M01,Medium,2026-09-23 15:45:00,2026-09-23 19:05:00,20,180,200,241.2,46728.0,9,108.54,51479.02
J055,B,221,2,2026-09-24 08:30:00,2,B-HT,M03,Maximum,2026-09-24 02:30:00,2026-09-24 08:50:00,35,345,380,891.75,87507.5,0,535.05,107972.275
J055,B,221,2,2026-09-24 08:30:00,3,B-ASM,M02,Medium,2026-09-24 09:00:00,2026-09-24 13:00:00,15,225,240,209.0,38060.0,8,94.05,312182.525
J068,B,73,1,2026-09-24 09:30:00,1,B-CUT,M01,Medium,2026-09-24 06:00:00,2026-09-24 07:00:00,0,60,60,72.0,6480.0,0,32.4,6638.7
J068,B,73,1,2026-09-24 09:30:00,2,B-HT,M03,Maximum,2026-09-24 09:00:00,2026-09-24 11:00:00,0,120,120,290.0,52200.0,4,174.0,144293.0
J068,B,73,1,2026-09-24 09:30:00,3,B-ASM,M02,Medium,2026-09-24 13:00:00,2026-09-24 14:15:00,0,75,75,68.75,9625.0,0,30.938,294646.469
J057,C,108,2,2026-09-24 10:00:00,1,C-ASM,M02,Medium,2026-09-22 12:00:00,2026-09-22 14:15:00,15,120,135,112.75,15785.0,0,50.737,15909.369
J057,C,108,2,2026-09-24 10:00:00,2,C-HT,M03,Maximum,2026-09-23 05:30:00,2026-09-23 08:50:00,35,165,200,456.75,48357.5,0,274.05,48715.275
J057,C,108,2,2026-09-24 10:00:00,3,C-INS,M05,Light,2026-09-23 12:00:00,2026-09-23 13:25:00,10,75,85,49.6,6944.0,0,17.36,7012.18
J051,B,87,2,2026-09-24 11:15:00,1,B-CUT,M01,Medium,2026-09-24 07:00:00,2026-09-24 08:15:00,0,75,75,90.0,9000.0,0,40.5,9091.5
J051,B,87,2,2026-09-24 11:15:00,2,B-HT,M03,Maximum,2026-09-24 11:00:00,2026-09-24 13:50:00,35,135,170,384.25,61335.0,5,230.55,219133.525
J051,B,87,2,2026-09-24 11:15:00,3,B-ASM,M02,Medium,2026-09-24 14:15:00,2026-09-24 16:00:00,15,90,105,85.25,11935.0,0,38.362,297030.431
J001,B,56,3,2026-09-24 13:15:00,1,B-CUT,M01,Medium,2026-09-23 09:00:00,2026-09-23 10:00:00,0,60,60,72.0,10080.0,0,32.4,10161.45
J001,B,56,3,2026-09-24 13:15:00,2,B-HT,M03,Maximum,2026-09-24 14:00:00,2026-09-24 15:30:00,0,90,90,217.5,30450.0,0,130.5,165599.25
J001,B,56,3,2026-09-24 13:15:00,3,B-ASM,M02,Medium,2026-09-24 16:00:00,2026-09-24 17:00:00,0,60,60,55.0,7700.0,0,24.75,232713.875
J028,A,134,1,2026-09-24 16:15:00,1,A-CUT,M01,Medium,2026-09-21 12:00:00,2026-09-21 14:05:00,20,105,125,151.2,21168.0,0,68.04,21310.27
J028,A,134,1,2026-09-24 16:15:00,2,A-PRS,M04,Maximum,2026-09-21 14:15:00,2026-09-21 17:00:00,0,165,165,343.75,48125.0,0,206.25,48228.625
J028,A,134,1,2026-09-24 16:15:00,3,A-INS,M05,Light,2026-09-23 13:30:00,2026-09-23 15:10:00,10,90,100,57.6,8064.0,0,20.16,8257.58
J014,B,86,2,2026-09-24 17:15:00,1,B-CUT,M01,Medium,2026-09-24 08:15:00,2026-09-24 09:50:00,20,75,95,115.2,16128.0,0,51.84,16394.92
J014,B,86,2,2026-09-24 17:15:00,2,B-HT,M03,Maximum,2026-09-24 15:30:00,2026-09-24 17:45:00,0,135,135,326.25,54375.0,3,195.75,85989.875
J014,B,86,2,2026-09-24 17:15:00,3,B-ASM,M02,Medium,2026-09-24 17:45:00,2026-09-24 19:15:00,0,90,90,82.5,18150.0,6,37.125,141168.562
J024,C,92,3,2026-09-24 17:45:00,1,C-ASM,M02,Medium,2026-09-24 06:00:00,2026-09-24 08:00:00,15,105,120,99.0,8910.0,0,44.55,9140.025
J024,C,92,3,2026-09-24 17:45:00,2,C-HT,M03,Maximum,2026-09-24 20:00:00,2026-09-24 23:05:00,35,150,185,420.5,49807.5,0,252.3,370144.65
J024,C,92,3,2026-09-24 17:45:00,3,C-INS,M05,Light,2026-09-25 08:00:00,2026-09-25 09:10:00,10,60,70,41.6,5824.0,0,14.56,930908.03
J060,C,59,2,2026-09-24 18:45:00,1,C-ASM,M02,Medium,2026-09-21 20:00:00,2026-09-21 21:00:00,0,60,60,55.0,7700.0,0,24.75,7731.125
J060,C,59,2,2026-09-24 18:45:00,2,C-HT,M03,Maximum,2026-09-22 06:15:00,2026-09-22 07:45:00,0,90,90,217.5,19575.0,0,130.5,19668.0
J060,C,59,2,2026-09-24 18:45:00,3,C-INS,M05,Light,2026-09-23 15:15:00,2026-09-23 16:00:00,0,45,45,24.0,3360.0,0,8.4,3458.7
J064,B,153,2,2026-09-24 19:15:00,1,B-CUT,M01,Medium,2026-09-24 12:00:00,2026-09-24 14:00:00,0,120,120,144.0,20160.0,0,64.8,20332.65
J064,B,153,2,2026-09-24 19:15:00,2,B-HT,M03,Maximum,2026-09-24 23:15:00,2026-09-25 03:50:00,35,240,275,638.0,57420.0,0,382.8,572814.15
J064,B,153,2,2026-09-24 19:15:00,3,B-ASM,M02,Medium,2026-09-25 06:00:00,2026-09-25 09:00:00,15,165,180,154.0,16610.0,0,69.3,841726.15
J038,A,62,1,2026-09-24 21:15:00,1,A-CUT,M01,Medium,2026-09-24 14:00:00,2026-09-24 15:20:00,20,60,80,97.2,13608.0,0,43.74,13804.12
J038,A,62,1,2026-09-24 21:15:00,2,A-PRS,M04,Maximum,2026-09-24 15:30:00,2026-09-24 16:45:00,0,75,75,156.25,21875.0,0,93.75,21922.375
J038,A,62,1,2026-09-24 21:15:00,3,A-INS,M05,Light,2026-09-24 17:00:00,2026-09-24 17:55:00,10,45,55,33.6,7392.0,5,11.76,9948.63
J071,A,255,1,2026-09-25 02:45:00,1,A-CUT,M01,Medium,2026-09-24 18:45:00,2026-09-24 22:00:00,0,195,195,234.0,39960.0,5,105.3,42584.65
J071,A,255,1,2026-09-25 02:45:00,2,A-PRS,M04,Maximum,2026-09-25 06:00:00,2026-09-25 11:15:00,0,315,315,656.25,91875.0,5,393.75,604595.875
J071,A,255,1,2026-09-25 02:45:00,3,A-INS,M05,Light,2026-09-25 11:15:00,2026-09-25 14:00:00,0,165,165,88.0,14240.0,3,30.8,690755.4
J078,B,281,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-21 07:30:00,2026-09-21 11:35:00,20,225,245,295.2,50148.0,7,132.84,53828.67
J078,B,281,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-25 04:00:00,2026-09-25 11:15:00,0,435,435,1051.25,132675.0,5,630.75,645755.625
J078,B,281,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-25 11:15:00,2026-09-25 16:00:00,0,285,285,261.25,39875.0,3,117.562,836433.781
J080,B,149,3,2026-09-25 02:45:00,1,B-CUT,M01,Medium,2026-09-24 15:30:00,2026-09-24 17:30:00,0,120,120,144.0,23040.0,2,64.8,24203.65
J080,B,149,3,2026-09-25 02:45:00,2,B-HT,M03,Maximum,2026-09-25 11:15:00,2026-09-25 15:00:00,0,225,225,543.75,84825.0,3,326.25,821541.375
J080,B,149,3,2026-09-25 02:45:00,3,B-ASM,M02,Medium,2026-09-25 16:00:00,2026-09-25 18:30:00,0,150,150,137.5,25850.0,6,61.875,973883.938
J026,B,113,2,2026-09-25 04:00:00,1,B-CUT,M01,Medium,2026-09-22 09:45:00,2026-09-22 11:15:00,0,90,90,108.0,22320.0,5,48.6,24861.55
J026,B,113,2,2026-09-25 04:00:00,2,B-HT,M03,Maximum,2026-09-22 19:00:00,2026-09-22 22:00:00,0,180,180,435.0,72500.0,4,261.0,74653.75
J026,B,113,2,2026-09-25 04:00:00,3,B-ASM,M02,Medium,2026-09-24 20:00:00,2026-09-24 22:00:00,0,120,120,110.0,15400.0,0,49.5,15562.75
J067,A,171,2,2026-09-25 05:00:00,1,A-CUT,M01,Medium,2026-09-22 17:00:00,2026-09-22 19:35:00,20,135,155,187.2,41184.0,12,84.24,47386.12
J067,A,171,2,2026-09-25 05:00:00,2,A-PRS,M04,Maximum,2026-09-23 06:00:00,2026-09-23 09:30:00,0,210,210,437.5,48750.0,0,262.5,48912.5
J067,A,171,2,2026-09-25 05:00:00,3,A-INS,M05,Light,2026-09-23 16:00:00,2026-09-23 17:45:00,0,105,105,56.0,9760.0,3,19.6,11289.3
J004,B,257,2,2026-09-25 05:15:00,1,B-CUT,M01,Medium,2026-09-21 18:15:00,2026-09-21 21:50:00,20,195,215,259.2,45504.0,8,116.64,49716.32
J004,B,257,2,2026-09-25 05:15:00,2,B-HT,M03,Maximum,2026-09-25 15:00:00,2026-09-25 21:30:00,0,390,390,942.5,166750.0,12,565.5,1148300.25
J004,B,257,2,2026-09-25 05:15:00,3,B-ASM,M02,Medium,2026-09-26 06:00:00,2026-09-26 10:30:00,0,270,270,247.5,26592.5,2,111.375,1782673.688
J015,C,159,2,2026-09-25 05:30:00,1,C-ASM,M02,Medium,2026-09-25 18:30:00,2026-09-25 21:30:00,15,165,180,154.0,27280.0,6,69.3,990578.65
J015,C,159,2,2026-09-25 05:30:00,2,C-HT,M03,Maximum,2026-09-25 21:30:00,2026-09-26 02:05:00,35,240,275,638.0,53577.5,0,382.8,1288943.9
J015,C,159,2,2026-09-25 05:30:00,3,C-INS,M05,Light,2026-09-26 08:00:00,2026-09-26 09:55:00,10,105,115,65.6,7806.4,0,22.96,1712885.63
J053,B,193,3,2026-09-25 06:15:00,1,B-CUT,M01,Medium,2026-09-25 06:00:00,2026-09-25 08:30:00,0,150,150,180.0,18000.0,0,81.0,153189.75
J053,B,193,3,2026-09-25 06:15:00,2,B-HT,M03,Maximum,2026-09-26 02:15:00,2026-09-26 07:50:00,35,300,335,783.0,59508.0,0,469.8,1594971.15
J053,B,193,3,2026-09-25 06:15:00,3,B-ASM,M02,Medium,2026-09-26 10:30:00,2026-09-26 14:00:00,15,195,210,181.5,26460.5,6,81.675,1934584.337
J035,B,271,1,2026-09-25 09:00:00,1,B-CUT,M01,Medium,2026-09-25 08:30:00,2026-09-25 12:00:00,0,210,210,252.0,46800.0,8,113.4,231017.2
J035,B,271,1,2026-09-25 09:00:00,2,B-HT,M03,Maximum,2026-09-26 08:00:00,2026-09-26 15:00:00,0,420,420,1015.0,140505.0,8,609.0,1944869.5
J035,B,271,1,2026-09-25 09:00:00,3,B-ASM,M02,Medium,2026-09-26 15:00:00,2026-09-26 19:45:00,0,285,285,261.25,41373.75,11,117.562,2131932.531
J054,C,275,3,2026-09-25 09:00:00,1,C-ASM,M02,Medium,2026-09-27 06:00:00,2026-09-27 11:00:00,15,285,300,264.0,30899.0,4,118.8,3033327.4
J054,C,275,3,2026-09-25 09:00:00,2,C-HT,M03,Maximum,2026-09-27 11:00:00,2026-09-27 18:35:00,35,420,455,1073.0,151351.0,12,643.8,3612847.9
J054,C,275,3,2026-09-25 09:00:00,3,C-INS,M05,Light,2026-09-28 08:00:00,2026-09-28 10:45:00,0,165,165,88.0,12320.0,0,30.8,4437375.65
J039,A,202,3,2026-09-25 09:15:00,1,A-CUT,M01,Medium,2026-09-25 12:00:00,2026-09-25 15:05:00,20,165,185,223.2,31248.0,0,100.44,381697.47
J039,A,202,3,2026-09-25 09:15:00,2,A-PRS,M04,Maximum,2026-09-26 06:00:00,2026-09-26 10:15:00,0,255,255,531.25,54593.75,1,318.75,1555297.875
J039,A,202,3,2026-09-25 09:15:00,3,A-INS,M05,Light,2026-09-26 10:15:00,2026-09-26 12:40:00,10,135,145,81.6,13627.2,8,28.56,1662691.48
J044,A,67,2,2026-09-25 09:30:00,1,A-CUT,M01,Medium,2026-09-23 10:00:00,2026-09-23 11:00:00,0,60,60,72.0,15840.0,4,32.4,17935.7
J044,A,67,2,2026-09-25 09:30:00,2,A-PRS,M04,Maximum,2026-09-23 12:00:00,2026-09-23 13:30:00,0,90,90,187.5,26250.0,0,112.5,26309.25
J044,A,67,2,2026-09-25 09:30:00,3,A-INS,M05,Light,2026-09-23 17:45:00,2026-09-23 18:30:00,0,45,45,24.0,5280.0,3,8.4,6796.95
J048,C,266,1,2026-09-25 10:00:00,1,C-ASM,M02,Medium,2026-09-22 14:15:00,2026-09-22 18:45:00,0,270,270,247.5,42350.0,7,111.375,46002.438
J048,C,266,1,2026-09-25 10:00:00,2,C-HT,M03,Maximum,2026-09-26 15:00:00,2026-09-26 21:45:00,0,405,405,978.75,146051.25,12,587.25,2297621.625
J048,C,266,1,2026-09-25 10:00:00,3,C-INS,M05,Light,2026-09-27 08:00:00,2026-09-27 10:55:00,10,165,175,97.6,13790.4,4,34.16,2950888.23
J069,A,171,3,2026-09-25 12:45:00,1,A-CUT,M01,Medium,2026-09-21 15:45:00,2026-09-21 18:00:00,0,135,135,162.0,28440.0,4,72.9,30494.45
J069,A,171,3,2026-09-25 12:45:00,2,A-PRS,M04,Maximum,2026-09-22 12:00:00,2026-09-22 15:30:00,0,210,210,437.5,61250.0,0,262.5,61435.25
J069,A,171,3,2026-09-25 12:45:00,3,A-INS,M05,Light,2026-09-25 09:15:00,2026-09-25 11:10:00,10,105,115,65.6,12384.0,5,22.96,15142.73
J040,B,198,2,2026-09-25 13:00:00,1,B-CUT,M01,Medium,2026-09-25 15:15:00,2026-09-25 18:05:00,20,150,170,205.2,35928.0,5,92.34,343892.92
J040,B,198,2,2026-09-25 13:00:00,2,B-HT,M03,Maximum,2026-09-26 21:45:00,2026-09-27 03:20:00,35,300,335,783.0,59819.75,0,469.8,2360312.65
J040,B,198,2,2026-09-25 13:00:00,3,B-ASM,M02,Medium,2026-09-27 11:00:00,2026-09-27 14:45:00,15,210,225,195.25,26226.75,4,87.862,3013368.681
J031,A,217,3,2026-09-25 17:00:00,1,A-CUT,M01,Medium,2026-09-25 18:15:00,2026-09-25 21:20:00,20,165,185,223.2,40464.0,8,100.44,304920.97
J031,A,217,3,2026-09-25 17:00:00,2,A-PRS,M04,Maximum,2026-09-26 10:15:00,2026-09-26 14:45:00,0,270,270,562.5,81812.5,7,337.5,1390520.0
J031,A,217,3,2026-09-25 17:00:00,3,A-INS,M05,Light,2026-09-26 14:45:00,2026-09-26 17:00:00,0,135,135,72.0,8568.0,0,25.2,1448580.6
J075,A,69,2,2026-09-25 17:15:00,1,A-CUT,M01,Medium,2026-09-23 11:00:00,2026-09-23 12:00:00,0,60,60,72.0,15840.0,4,32.4,17924.45
J075,A,69,2,2026-09-25 17:15:00,2,A-PRS,M04,Maximum,2026-09-23 13:30:00,2026-09-23 15:00:00,0,90,90,187.5,26250.0,0,112.5,26310.75
J075,A,69,2,2026-09-25 17:15:00,3,A-INS,M05,Light,2026-09-25 14:00:00,2026-09-25 14:45:00,0,45,45,24.0,3360.0,0,8.4,3505.2
J076,B,85,3,2026-09-25 21:15:00,1,B-CUT,M01,Medium,2026-09-24 10:00:00,2026-09-24 11:35:00,20,75,95,115.2,25344.0,8,51.84,29658.17
J076,B,85,3,2026-09-25 21:15:00,2,B-HT,M03,Maximum,2026-09-27 03:30:00,2026-09-27 05:45:00,0,135,135,326.25,24795.0,0,195.75,1975084.625
J076,B,85,3,2026-09-25 21:15:00,3,B-ASM,M02,Medium,2026-09-27 14:45:00,2026-09-27 16:15:00,0,90,90,82.5,9817.5,0,37.125,2589863.062
J020,A,213,3,2026-09-25 21:15:00,1,A-CUT,M01,Medium,2026-09-26 06:00:00,2026-09-26 09:05:00,20,165,185,223.2,20833.2,0,100.44,731168.67
J020,A,213,3,2026-09-25 21:15:00,2,A-PRS,M04,Maximum,2026-09-26 14:45:00,2026-09-26 19:15:00,0,270,270,562.5,86062.5,9,337.5,1410748.25
J020,A,213,3,2026-09-25 21:15:00,3,A-INS,M05,Light,2026-09-27 11:00:00,2026-09-27 13:15:00,0,135,135,72.0,10744.0,4,25.2,2412803.85
J041,A,221,1,2026-09-25 22:15:00,1,A-CUT,M01,Medium,2026-09-26 09:15:00,2026-09-26 12:15:00,0,180,180,216.0,35496.0,8,97.2,879811.6
J041,A,221,1,2026-09-25 22:15:00,2,A-PRS,M04,Maximum,2026-09-27 06:00:00,2026-09-27 10:30:00,0,270,270,562.5,60437.5,2,337.5,2236659.5
J041,A,221,1,2026-09-25 22:15:00,3,A-INS,M05,Light,2026-09-27 13:15:00,2026-09-27 15:30:00,0,135,135,72.0,8568.0,0,25.2,2483588.85
J025,B,232,3,2026-09-25 22:45:00,1,B-CUT,M01,Medium,2026-09-26 12:15:00,2026-09-26 15:35:00,20,180,200,241.2,28702.8,0,108.54,1039134.57
J025,B,232,3,2026-09-25 22:45:00,2,B-HT,M03,Maximum,2026-09-27 18:45:00,2026-09-28 00:45:00,0,360,360,761.25,90443.75,5,456.75,3093253.625
J025,B,232,3,2026-09-25 22:45:00,3,B-ASM,M02,Medium,2026-09-28 06:00:00,2026-09-28 10:00:00,0,240,240,220.0,30800.0,0,99.0,3585865.25
J063,B,134,2,2026-09-26 00:00:00,1,B-CUT,M01,Medium,2026-09-26 15:45:00,2026-09-26 17:30:00,0,105,105,126.0,17442.0,2,56.7,1068757.6
J063,B,134,2,2026-09-26 00:00:00,2,B-HT,M03,Maximum,2026-09-27 05:45:00,2026-09-27 09:15:00,0,210,210,507.5,46363.75,0,304.5,2041552.75
J063,B,134,2,2026-09-26 00:00:00,3,B-ASM,M02,Medium,2026-09-27 16:15:00,2026-09-27 18:30:00,0,135,135,123.75,20336.25,6,55.688,2573385.094
J061,C,79,3,2026-09-26 01:15:00,1,C-ASM,M02,Medium,2026-09-25 09:00:00,2026-09-25 10:45:00,15,90,105,85.25,15235.0,3,38.362,16996.431
J061,C,79,3,2026-09-26 01:15:00,2,C-HT,M03,Maximum,2026-09-28 00:45:00,2026-09-28 03:20:00,35,120,155,306.917,42968.33,0,184.15,3048421.408
J061,C,79,3,2026-09-26 01:15:00,3,C-INS,M05,Light,2026-09-28 10:45:00,2026-09-28 11:55:00,10,60,70,33.067,4629.33,0,11.573,3524707.37
J009,B,166,1,2026-09-26 03:15:00,1,B-CUT,M01,Medium,2026-09-26 17:30:00,2026-09-26 19:45:00,0,135,135,162.0,30294.0,9,72.9,1025104.2
J009,B,166,1,2026-09-26 03:15:00,2,B-HT,M03,Maximum,2026-09-28 03:30:00,2026-09-28 08:20:00,35,255,290,633.167,88643.33,0,379.9,3274103.533
J009,B,166,1,2026-09-26 03:15:00,3,B-ASM,M02,Medium,2026-09-28 10:00:00,2026-09-28 13:15:00,15,180,195,167.75,23485.0,0,75.488,3503602.744
J047,B,233,2,2026-09-26 03:15:00,1,B-CUT,M01,Medium,2026-09-27 06:00:00,2026-09-27 09:00:00,0,180,180,216.0,19512.0,0,97.2,1804880.85
J047,B,233,2,2026-09-26 03:15:00,2,B-HT,M03,Maximum,2026-09-28 08:30:00,2026-09-28 14:30:00,0,360,360,870.0,121800.0,0,522.0,3677131.5
J047,B,233,2,2026-09-26 03:15:00,3,B-ASM,M02,Medium,2026-09-28 14:30:00,2026-09-28 18:30:00,0,240,240,220.0,30800.0,0,99.0,3825849.5
J065,B,241,3,2026-09-26 06:30:00,1,B-CUT,M01,Medium,2026-09-27 09:00:00,2026-09-27 12:15:00,0,195,195,234.0,37638.0,8,105.3,1827082.15
J065,B,241,3,2026-09-26 06:30:00,2,B-HT,M03,Maximum,2026-09-28 14:30:00,2026-09-28 20:45:00,0,375,375,906.25,126875.0,0,543.75,3862225.625
J065,B,241,3,2026-09-26 06:30:00,3,B-ASM,M02,Medium,2026-09-29 06:00:00,2026-09-29 10:15:00,0,255,255,233.75,32725.0,0,105.188,4577805.344
J003,A,179,1,2026-09-26 09:15:00,1,A-CUT,M01,Medium,2026-09-27 12:15:00,2026-09-27 14:50:00,20,135,155,187.2,22276.8,0,84.24,1797877.92
